Location,,,Location,Location,Skip,Location,Date,Temperature,Temperature,Temperature,Dew point,Dew point,Dew point,Humidity,Humidity,Humidity,Wind Speed,Wind Speed,Wind Speed,Pressure,Pressure,Pressure,Precipitation
Station,latitude,longitude,Borough,City,State,ZipCode,WDate,Temperature_Max,Temperature_Avg,Temperature_Min,Dewpot_Max,Dewpot_Avg,Dewpot_Min,Humidity_Max,Humidity_Avg,Humidity_Min,Wdspeed_Max,Wdspeed_Avg,Wdspeed_Min,Pressure_Max,Pressure_Min,Pressure_Avg,Precipitation_Total
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/6/16,45.3,38,27.3,38.6,15.8,3,78,41,24,30.4,7.5,0,30.42,29.98,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/7/16,59.1,52.8,44.7,52.8,44.4,36.9,92,74,50,34.2,10,0,29.99,29.36,29.7,0.22
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/8/16,51.8,44.9,39.2,38.6,26.2,18.5,66,48,33,40.7,13.3,0,29.81,29.46,29.6,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/9/16,41.7,38.3,33.2,35.1,25.5,16.7,90,61,41,19,5,0,30.02,29.71,29.9,0.09
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/10/16,50.2,39.7,30.6,29.6,16.9,9.1,59,40,18,30,8.5,0,30.35,30,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/11/16,60.3,51,42.5,46.2,38.1,25.1,79,61,43,24.4,8.3,0,30.35,29.98,30.2,0.01
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/12/16,57.7,50.7,44,51.4,36.3,18.7,95,62,27,21.3,7.3,0,30.31,29.91,30.1,0.27
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/13/16,57.4,46.5,37.3,33.2,25.1,18.9,66,44,25,16.6,4.3,0,30.44,30.29,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/14/16,62,49,41.1,34.2,26.9,19.7,68,44,19,19.5,5.4,0,30.42,30.28,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/15/16,66.6,49.8,39.4,35.4,28,12.7,81,48,15,16.8,4.8,0,30.5,30.36,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/16/16,64.8,51.7,40.5,36.1,25.9,13.2,79,43,14,17.2,4.5,0,30.5,30.37,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/17/16,74.9,55.8,43.2,36.8,30.8,20.8,74,43,16,18.6,4.2,0,30.48,30.26,30.4,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/18/16,80.1,62.8,45.7,35.7,31.5,27.5,61,34,14,17.9,4.1,0,30.29,30.07,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/19/16,69.4,64.5,55.9,42.7,31.7,18.9,41,30,16,20.8,7.2,0,30.16,29.94,30.1,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/20/16,67.7,56.1,47.8,35.8,22,3.5,58,29,7,28.6,5.6,0,30.29,30.15,30.2,0
KNYBRONX14,40.8616,-73.8809,Bronx,Botanical Garden,NY,10458,4/21/16,69.7,60,49.2,48.3,36,22.2,61,41,22,28.4,7.7,0,30.23,29.96,30.1,0
